season,team_id,team_name,off_rtg,def_rtg,net_rtg,pace,rest_days,ts_pct,tov_pct,oreb_pct,home,win_streak,srs,point_diff,fg3_rate,ftr,back_to_back,travel_km,prev_margin,label
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,1,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,0.0,32.0,1
2015-16,1610612763,Memphis Grizzlies,104.7,107.1,-2.4,93.95,2,0.5245162383029174,0.14,0.298,0,-4,-2.098,-2.2,0.2212918660287081,0.2954545454545454,0,0.0,-32.0,0
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,3,0.5632591754103357,0.138,0.266,0,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,1011.6,26.0,1
2015-16,1610612763,Memphis Grizzlies,104.7,107.1,-2.4,93.95,3,0.5245162383029174,0.14,0.298,1,-4,-2.098,-2.2,0.2212918660287081,0.2954545454545454,0,1011.6,-26.0,0
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,0,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,0.0,9.0,1
2015-16,1610612763,Memphis Grizzlies,104.7,107.1,-2.4,93.95,2,0.5245162383029174,0.14,0.298,1,-4,-2.098,-2.2,0.2212918660287081,0.2954545454545454,0,0.0,-9.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,5,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,0.0,0.0,1
2015-16,1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,5,0.5446588295425505,0.132,0.241,0,-1,0.018,-0.3,0.3400713436385256,0.2651605231866825,0,0.0,0.0,0
2015-16,1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,2,0.5446588295425505,0.132,0.241,0,-1,0.018,-0.3,0.3400713436385256,0.2651605231866825,0,0.0,-38.0,1
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,0.0,38.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,3,0.565197767930412,0.162,0.347,0,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,304.2,-1.0,1
2015-16,1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,3,0.5446588295425505,0.132,0.241,1,-1,0.018,-0.3,0.3400713436385256,0.2651605231866825,0,304.2,1.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,0,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,0.0,29.0,1
2015-16,1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,2,0.5446588295425505,0.132,0.241,1,-1,0.018,-0.3,0.3400713436385256,0.2651605231866825,0,0.0,-29.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,304.2,11.0,1
